Seconds,Oyster.1,Oyster.2 ,Oyster.3,Oyster.4,Oyster.5,Oyster.6
0,603,226,541,613,552,534
12,603,224,541,613,552,562
24,603,225,541,614,552,579
36,603,226,541,613,552,588
48,603,224,541,613,552,594
60,603,224,542,613,552,597
72,603,224,541,613,552,601
84,603,225,541,613,552,602
96,604,226,542,613,552,603
108,603,227,541,613,552,603
120,603,227,541,613,552,603
132,603,227,541,613,552,603
144,603,228,542,613,552,604
156,603,228,542,613,552,605
168,603,228,541,613,552,604
180,603,231,542,613,552,604
192,603,231,541,613,552,604
204,603,231,542,613,552,604
216,603,231,541,613,552,605
228,603,228,542,613,552,604
240,603,228,541,613,552,605
252,604,230,542,613,552,604
264,603,230,541,613,552,604
276,603,229,541,613,552,604
288,603,228,541,613,552,605
300,603,228,540,613,552,604
312,603,229,540,613,552,605
324,603,230,541,613,552,605
336,603,228,541,613,552,604
348,603,229,541,613,552,604
360,603,228,541,613,552,605
372,603,227,541,613,552,605
384,603,227,541,613,552,604
396,603,228,541,613,552,605
408,603,228,541,613,552,604
420,603,229,541,612,551,604
432,604,227,542,613,552,605
444,603,228,542,613,552,605
456,603,228,541,613,552,604
468,603,230,541,613,552,606
480,603,228,541,613,552,606
492,603,228,542,613,552,605
504,603,228,541,613,552,605
516,603,229,542,613,552,605
528,603,228,541,613,552,604
540,603,231,541,613,552,604
552,603,230,542,613,552,604
564,603,231,541,613,552,604
576,603,229,542,613,552,604
588,603,229,541,613,552,605
600,603,230,541,613,552,605
612,603,230,541,613,552,604
624,603,229,541,613,552,604
636,603,231,541,612,551,604
648,603,232,541,613,552,604
660,603,231,541,613,552,604
672,603,231,540,613,551,604
684,603,230,541,613,552,604
696,603,230,541,613,552,604
708,603,230,541,613,552,604
720,603,230,541,613,552,604
732,603,231,541,613,552,605
744,604,227,540,613,552,604
756,603,229,541,613,552,605
768,603,227,542,612,552,604
780,603,228,541,613,552,604
792,603,226,541,613,552,604
804,604,227,541,613,552,605
816,603,228,541,613,552,604
828,603,228,541,613,552,604
840,603,229,541,613,552,604
852,603,227,541,613,552,605
864,603,231,542,613,552,605
876,603,227,541,613,552,605
888,603,228,542,613,552,604
900,603,228,541,613,552,605
912,603,227,541,613,552,605
924,603,228,542,613,552,605
936,603,227,542,612,552,605
948,603,227,541,613,552,605
960,603,229,541,613,552,605
972,603,229,542,613,552,605
984,603,227,542,613,552,605
996,603,227,542,613,551,605
1008,603,226,541,613,552,605
1020,603,225,542,613,552,605
1032,603,225,542,613,552,605
1044,603,225,542,614,552,604
1056,603,222,542,613,552,604
1068,603,225,542,613,552,604
1080,603,225,543,613,552,605
1092,603,225,542,613,552,605
1104,603,226,543,613,552,606
1116,603,228,543,613,552,605
1128,603,226,543,613,552,604
1140,603,227,543,613,552,604
1152,603,227,544,613,552,605
1164,603,227,543,613,552,605
1176,604,225,542,613,552,605
1188,603,225,542,613,552,605
1200,603,224,542,613,552,604
1212,603,224,544,613,552,605
1224,603,223,544,613,552,605
1236,604,224,543,613,552,605
1248,604,224,543,613,552,605
1260,604,224,543,613,552,605
1272,603,224,543,613,552,605
1284,603,225,544,613,552,604
1296,604,228,543,613,552,605
1308,603,226,543,613,552,606
1320,604,228,543,613,552,605
1332,604,228,544,613,552,605
1344,603,227,542,613,552,606
1356,603,226,542,613,551,605
1368,603,227,542,613,552,606
1380,603,227,543,613,552,606
1392,603,226,543,613,552,605
1404,603,227,542,613,552,605
1416,604,228,542,613,552,604
1428,603,230,543,613,551,604
1440,604,229,543,613,552,605
1452,603,228,543,613,552,605
1464,603,231,542,613,551,605
1476,603,228,542,613,552,604
1488,603,231,543,613,552,605
1500,603,231,543,613,552,604
1512,603,228,543,613,552,604
1524,603,230,543,613,552,604
1536,603,228,543,613,551,604
1548,603,228,542,613,552,603
1560,603,227,543,613,552,604
1572,603,227,543,613,551,604
1584,603,228,543,613,552,605
1596,603,228,542,613,552,605
1608,603,228,543,613,552,604
1620,603,229,543,613,552,604
1632,603,228,543,613,552,605
1644,603,230,543,613,552,604
1656,603,231,543,613,552,605
1668,603,230,543,612,552,604
1680,603,228,543,613,552,604
1692,603,229,543,613,552,605
1704,603,230,543,613,552,605
1716,603,231,543,613,552,604
1728,603,231,543,613,552,605
1740,603,229,543,613,552,606
1752,603,228,542,613,552,606
1764,603,228,542,613,552,606
1776,604,228,543,613,552,606
1788,603,228,543,613,552,605
1800,604,228,542,613,552,605
1812,603,228,542,613,552,605
1824,603,228,543,613,552,605
1836,603,228,543,613,552,604
1848,603,228,542,613,551,604
1860,603,229,542,613,552,604
1872,603,229,543,613,552,605
1884,603,229,543,613,552,605
1896,604,228,543,613,552,604
1908,603,228,543,613,552,605
1920,603,228,542,613,552,604
1932,604,228,542,613,552,604
1944,603,228,542,613,552,604
1956,603,228,542,613,552,604
1968,604,228,542,613,552,605
1980,603,228,543,613,552,605
1992,603,228,543,613,552,605
2004,603,229,543,613,552,606
2016,604,228,542,613,552,605
2028,603,228,542,613,551,605
2040,603,229,542,613,552,605
2052,603,228,542,613,552,604
2064,603,230,543,613,552,604
2076,603,230,542,613,552,603
2088,603,230,542,613,552,604
2100,604,229,542,613,552,604
2112,603,229,543,613,552,604
2124,603,228,543,613,552,604
2136,603,228,542,613,552,604
2148,603,229,542,613,552,604
2160,603,230,542,613,552,605
2172,603,231,543,613,552,605
2184,603,231,543,613,552,606
2196,603,230,543,613,551,605
2208,603,233,543,613,552,605
2220,603,229,543,613,552,607
2232,603,228,542,613,552,608
2244,603,228,543,613,552,611
2256,603,228,542,613,552,614
2268,603,229,543,613,552,617
2280,603,230,543,613,552,622
2292,603,230,543,613,552,626
2304,603,229,543,613,552,623
2316,603,228,543,613,551,615
2328,603,228,543,613,552,604
2340,603,228,543,613,551,593
2352,604,228,543,613,552,584
2364,603,228,543,613,552,580
2376,603,229,544,613,552,582
2388,603,230,543,613,552,586
2400,603,230,543,613,552,589
2412,603,230,544,613,552,592
2424,603,230,543,613,552,595
2436,603,229,543,613,552,597
2448,603,229,544,613,552,599
2460,603,229,543,613,552,601
2472,603,230,543,613,552,602
2484,603,229,544,613,552,603
2496,603,229,543,613,552,604
2508,603,230,544,613,552,604
2520,603,229,543,613,552,605
2532,603,229,543,613,552,605
2544,603,232,544,613,552,605
2556,603,229,544,613,552,605
2568,603,229,544,613,552,605
2580,604,229,544,613,552,605
2592,603,229,544,613,552,605
2604,603,229,544,613,552,605
2616,603,228,543,613,552,605
2628,603,228,544,613,552,605
2640,604,227,544,613,552,605
2652,603,227,544,613,552,605
2664,603,227,542,613,551,606
2676,603,228,543,613,552,606
2688,603,228,543,613,552,607
2700,603,229,543,613,552,607
2712,603,229,544,613,552,607
2724,603,233,544,613,552,606
2736,603,231,544,613,552,606
2748,603,231,544,613,551,607
2760,603,230,542,613,552,606
2772,603,229,543,613,551,607
2784,604,228,543,613,552,606
2796,603,232,543,613,552,606
2808,603,230,544,613,552,606
2820,604,230,543,613,552,606
2832,603,230,543,613,552,606
2844,604,230,543,613,551,605
2856,603,230,543,613,552,606
2868,603,229,544,613,552,605
2880,603,231,544,613,552,606
2892,603,229,544,613,552,606
