Seconds,Oyster.2 ,Oyster.3,Oyster.5
0,533,557,540
12,533,558,539
24,533,556,540
36,534,556,539
48,534,556,539
60,534,557,539
72,533,557,539
84,532,557,538
96,534,556,539
108,533,557,540
120,532,556,539
132,534,556,539
144,534,557,539
156,532,558,539
168,533,556,538
180,533,558,539
192,533,556,539
204,533,557,538
216,540,556,539
228,539,557,540
240,538,556,538
252,536,556,539
264,536,557,539
276,536,556,538
288,535,557,538
300,534,557,538
312,536,557,540
324,535,556,538
336,534,557,538
348,535,558,539
360,535,558,539
372,536,556,539
384,535,557,540
396,535,557,539
408,536,556,540
420,541,557,539
432,538,557,538
444,538,558,538
456,537,557,540
468,537,558,538
480,537,557,539
492,535,558,538
504,535,558,538
516,536,556,538
528,536,558,538
540,536,556,537
552,536,557,538
564,536,557,538
576,535,557,538
588,535,557,538
600,536,556,538
612,535,557,538
624,535,558,538
636,535,558,538
648,535,557,537
660,535,557,537
672,536,556,539
684,536,556,537
696,538,556,537
708,537,556,538
720,537,557,538
732,537,557,538
744,536,557,537
756,537,557,538
768,537,556,538
780,537,557,538
792,537,557,538
804,536,557,538
816,536,557,538
828,536,557,539
840,536,556,537
852,537,557,539
864,537,556,538
876,535,557,538
888,537,557,539
900,537,557,538
912,536,558,538
924,535,558,537
936,536,557,541
948,535,558,540
960,536,558,540
972,536,557,538
984,535,556,538
996,536,556,538
1008,535,557,538
1020,535,557,538
1032,535,558,538
1044,535,557,538
1056,536,558,539
1068,537,557,539
1080,536,557,538
1092,536,558,538
1104,536,557,540
1116,537,556,539
1128,536,557,539
1140,536,556,538
1152,536,556,539
1164,535,557,538
1176,535,558,538
1188,535,557,538
1200,536,556,539
1212,536,556,538
1224,535,557,539
1236,535,558,538
1248,535,557,538
1260,536,556,538
1272,536,557,539
1284,536,558,538
1296,536,556,538
1308,535,557,539
1320,536,557,539
1332,535,557,539
1344,535,557,538
1356,535,556,539
1368,535,556,538
1380,536,557,539
1392,535,558,538
1404,535,557,538
1416,535,557,539
1428,534,557,538
1440,534,558,539
1452,534,558,538
1464,534,557,538
1476,534,557,538
1488,534,557,539
1500,536,556,539
1512,534,557,539
1524,535,557,539
1536,535,556,539
1548,534,557,538
1560,534,557,539
1572,535,557,538
1584,536,557,538
1596,536,557,539
1608,536,557,539
1620,535,558,538
1632,535,558,538
1644,536,556,538
1656,536,556,538
1668,535,557,538
1680,535,558,539
1692,535,558,538
1704,535,557,538
1716,535,558,539
1728,535,558,539
1740,536,557,539
1752,535,558,539
1764,535,557,539
1776,535,557,539
1788,534,558,538
1800,535,557,539
1812,535,558,538
1824,535,557,538
1836,535,558,538
1848,539,557,538
1860,537,557,539
1872,537,558,539
1884,537,557,538
1896,536,557,538
1908,538,557,540
1920,537,558,538
1932,538,557,538
1944,539,557,538
1956,537,558,539
1968,536,558,539
1980,537,557,539
1992,537,558,538
2004,537,558,540
2016,538,556,539
2028,537,557,546
2040,536,557,542
2052,537,557,539
2064,536,557,539
2076,537,557,540
2088,537,556,540
2100,536,557,540
2112,536,558,539
2124,536,558,538
2136,536,557,539
2148,537,556,539
2160,536,557,539
2172,537,556,539
2184,536,557,539
2196,537,557,540
2208,536,557,539
2220,536,557,539
2232,535,557,538
2244,535,557,538
2256,536,556,539
2268,535,557,538
2280,534,557,538
2292,534,557,538
2304,536,557,538
2316,536,556,539
2328,536,557,539
2340,535,557,538
2352,534,557,538
2364,534,558,540
2376,535,557,540
2388,535,557,540
2400,535,557,539
2412,534,558,540
2424,534,558,538
2436,534,558,539
2448,534,558,539
2460,535,556,539
2472,535,556,539
2484,535,556,539
2496,536,556,539
2508,535,557,540
2520,535,554,539
2532,535,548,540
2544,535,545,538
2556,534,545,539
2568,535,545,540
2580,535,545,540
2592,534,545,539
2604,535,544,538
2616,535,544,539
2628,534,545,538
2640,535,544,539
2652,534,545,538
2664,535,545,538
2676,535,545,539
2688,534,545,538
2700,534,545,538
2712,536,544,539
2724,536,544,539
2736,535,545,539
2748,535,546,538
2760,534,545,539
2772,536,549,539
2784,535,550,538
2796,536,548,539
2808,534,548,538
2820,536,548,539
2832,536,547,539
2844,536,546,538
2856,534,548,539
2868,534,547,538
2880,535,547,538
2892,534,550,538
2904,535,550,540
2916,534,551,539
2928,535,549,546
2940,536,549,542
2952,542,550,540
2964,540,552,540
2976,540,551,541
2988,539,551,540
3000,539,550,539
3012,539,551,540
3024,538,550,539
3036,538,549,539
